2025-06-11T00:01:26.193Z [INFO] Serveur démarré sur http://localhost:3000
2025-06-11T00:14:27.046Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:27.204Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:27.432Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:27.615Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:27.794Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:27.967Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:28.166Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:28.410Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:28.597Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:28.799Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:28.964Z [INFO] GET / | {"ip":"::1","status":304,"duration":"5ms","user":"anonymous"}
2025-06-11T00:14:29.174Z [INFO] GET / | {"ip":"::1","status":304,"duration":"3ms","user":"anonymous"}
2025-06-11T00:14:29.344Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:29.542Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:29.713Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:29.920Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:30.111Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:30.307Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:30.544Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:30.708Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:30.917Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:43.196Z [INFO] GET / | {"ip":"::1","status":304,"duration":"3ms","user":"anonymous"}
2025-06-11T00:14:43.429Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:43.673Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
2025-06-11T00:14:43.844Z [INFO] GET / | {"ip":"::1","status":304,"duration":"2ms","user":"anonymous"}
2025-06-11T00:14:44.012Z [INFO] GET / | {"ip":"::1","status":304,"duration":"1ms","user":"anonymous"}
